"gene1","gene2","cancer"
-38,-32,"breast"
4,-17,"breast"
8,81,"breast"
15,-17,"breast"
2,18,"breast"
14,50,"breast"
1,-2,"breast"
-8,-6,"breast"
14,16,"prostate"
2,21,"prostate"
5,-48,"prostate"
27,-114,"prostate"
-10,-136,"prostate"
53,62,"prostate"
38,-150,"prostate"
32,21,"prostate"
18,58,"lung"
18,-117,"lung"
-13,-19,"lung"
9,-7,"lung"
34,10,"lung"
-37,9,"lung"
10,20,"lung"
13,-75,"lung"
-30,-12,"colorectal"
51,-9,"colorectal"
-57,-121,"colorectal"
0,-29,"colorectal"
-6,12,"colorectal"
7,-111.8,"colorectal"
5,-19,"colorectal"
-2,-46,"colorectal"
1,52,"lymphoma"
21,-41,"lymphoma"
29,58,"lymphoma"
20,-109,"lymphoma"
24,56,"lymphoma"
13,-64,"lymphoma"
36,121,"lymphoma"
72,-5,"lymphoma"
-2,-20,"lymphoma"
-31,33,"lymphoma"
77,25,"lymphoma"
-5,41,"lymphoma"
53,-41,"lymphoma"
-2,20,"lymphoma"
17,-19,"lymphoma"
42,17,"lymphoma"
48,16,"bladder"
8,-36,"bladder"
-7,-9,"bladder"
0,-78,"bladder"
14,-5,"bladder"
-4,16,"bladder"
-13,-3,"bladder"
15,21,"bladder"
1,-26,"melanoma"
7,-32,"melanoma"
18,48,"melanoma"
-25,-26,"melanoma"
7,1,"melanoma"
-4,20,"melanoma"
-24,7,"melanoma"
-9,-78,"melanoma"
-17,-68,"uterus"
13,-1,"uterus"
6,-28,"uterus"
-1,16,"uterus"
-6,-19,"uterus"
43,14,"uterus"
10,11,"uterus"
19,47,"uterus"
15,68,"leukemia"
19,-1,"leukemia"
0,-4,"leukemia"
31,32,"leukemia"
14,-10,"leukemia"
55,14,"leukemia"
78,-41,"leukemia"
42,59,"leukemia"
65,-33,"leukemia"
79,-18,"leukemia"
16,-14,"leukemia"
65,-36,"leukemia"
48,23,"leukemia"
54,-77,"leukemia"
20,-43,"leukemia"
66,-26,"leukemia"
49,-17,"leukemia"
65,-51,"leukemia"
47,-63,"leukemia"
26,108,"leukemia"
23,-15,"leukemia"
12,-10,"leukemia"
54,-34,"leukemia"
19,-44,"leukemia"
17,27,"renal"
23,8,"renal"
-10,87,"renal"
32,118,"renal"
-24,62,"renal"
3,60,"renal"
8,60,"renal"
-3,-28,"renal"
22,18,"pancreas"
-8,-32,"pancreas"
1,21,"pancreas"
7,3,"pancreas"
25,-98,"pancreas"
0,-18,"pancreas"
12,-24,"pancreas"
-12,-24,"pancreas"
3,34,"ovary"
22,-40,"ovary"
6,-7,"ovary"
25,-28,"ovary"
32,-14,"ovary"
-40,-13,"ovary"
-8,22,"ovary"
-38,19,"ovary"
4,23,"meso"
-9,-3,"meso"
-3,45,"meso"
-25,-57,"meso"
-7,19,"meso"
-8,-27,"meso"
27,-7,"meso"
-7,59,"meso"
49,-146,"cns"
15,-103,"cns"
38,47,"cns"
-1,-53,"cns"
9,2,"cns"
-3,-13,"cns"
50,-166,"cns"
1,-39,"cns"
-1,-294,"cns"
-7,6,"cns"
-24,100,"cns"
48,70,"cns"
25,43,"cns"
-18,-413,"cns"
35,-35,"cns"
19,114,"cns"
-17,1,"breast"
-23,-25,"breast"
-22,-184,"breast"
-19,16,"prostate"
-6,14,"prostate"
-27,-46,"lung"
-35,-81,"lung"
2,13,"lung"
3,4,"colorectal"
4,19,"colorectal"
-3,-3,"colorectal"
44,59,"lymphoma"
54,-26,"lymphoma"
31,28,"lymphoma"
-19,-13,"lymphoma"
0,30,"lymphoma"
-16,-39,"lymphoma"
-33,-1,"bladder"
-9,18,"bladder"
11,8,"bladder"
9,-71,"melanoma"
-8,-29,"melanoma"
-60,25,"uterus"
13,5,"uterus"
61,6,"leukemia"
24,34,"leukemia"
45,-46,"leukemia"
55,55,"leukemia"
21,-1,"leukemia"
42,8,"leukemia"
-5,-16,"renal"
9,-10,"renal"
22,-20,"renal"
14,10,"pancreas"
16,1,"pancreas"
-10,-30,"pancreas"
-10,-33,"ovary"
-21,26,"ovary"
-1,4,"ovary"
-3,-23,"meso"
-8,62,"meso"
1,-53,"meso"
19,-162,"cns"
34,170,"cns"
20,-58,"cns"
78,-85,"cns"
-5,-59,"ovary"
13,-40,"colorectal"
-14,-27,"lung"
-2,21,"prostate"
-4,58,"prostate"
-4,-72,"prostate"
5,-18,"prostate"
7,0,"breast"
